Id,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice,OverallQual,ExterQual,BsmtQual,KitchenQual,MSZoning_RM,Neighborhood_NoRidge,Neighborhood_NridgHt,Exterior1st_VinylSd,Exterior2nd_VinylSd,MasVnrType_BrkFace,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,GarageType_Detchd,SaleType_New,SaleCondition_Partial
20,1958,1965,0.0,1029.0,1339,1339,1,6,0,1958.0,1.0,294.0,139000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
21,2005,2006,380.0,1158.0,1158,2376,3,9,1,2005.0,3.0,853.0,325300.0,7.0,3.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
22,1930,1950,0.0,637.0,1108,1108,1,6,1,1930.0,1.0,280.0,139400.0,6.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
23,2002,2002,281.0,1777.0,1795,1795,2,7,1,2002.0,2.0,534.0,230000.0,7.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,1976,1976,0.0,1040.0,1060,1060,1,6,1,1976.0,2.0,572.0,129900.0,4.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
25,1968,2001,0.0,1060.0,1060,1060,1,6,1,1968.0,1.0,270.0,154000.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
26,2007,2007,640.0,1566.0,1600,1600,2,7,1,2007.0,3.0,890.0,256300.0,7.0,3.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
27,1951,2000,0.0,900.0,900,900,1,5,0,2005.0,2.0,576.0,134800.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
28,2007,2008,200.0,1704.0,1704,1704,2,7,1,2008.0,3.0,772.0,306000.0,7.0,3.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
29,1957,1997,0.0,1484.0,1600,1600,1,6,2,1957.0,1.0,319.0,207500.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
30,1927,1950,0.0,520.0,520,520,1,4,0,1920.0,1.0,240.0,68500.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
31,1920,1950,0.0,649.0,649,1317,1,6,0,1920.0,1.0,250.0,40000.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
32,1966,2006,0.0,1228.0,1228,1228,1,6,0,1966.0,1.0,271.0,149350.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
33,2007,2007,0.0,1234.0,1234,1234,2,7,0,2007.0,2.0,484.0,179900.0,7.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34,1959,1959,0.0,1398.0,1700,1700,1,6,1,1959.0,2.0,447.0,165500.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
35,2005,2005,246.0,1561.0,1561,1561,2,6,1,2005.0,2.0,556.0,277500.0,8.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36,2004,2005,132.0,1117.0,1132,2452,3,9,1,2004.0,3.0,691.0,309000.0,7.0,3.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
37,1994,1995,0.0,1097.0,1097,1097,1,6,0,1995.0,2.0,672.0,145000.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38,1954,1990,650.0,1297.0,1297,1297,1,5,1,1954.0,2.0,498.0,153000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
39,1953,2007,0.0,1057.0,1057,1057,1,5,0,1953.0,1.0,246.0,109000.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
40,1955,1955,0.0,0.0,1152,1152,2,6,0,1979.0,0.0,0.0,82000.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
41,1965,1965,101.0,1088.0,1324,1324,2,6,1,1965.0,2.0,440.0,160000.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
42,1959,1959,0.0,1350.0,1328,1328,1,5,2,1959.0,1.0,308.0,170000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
43,1983,1983,0.0,840.0,884,884,1,5,0,1983.0,2.0,504.0,144000.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
44,1975,1980,0.0,938.0,938,938,1,5,0,1977.0,1.0,308.0,130250.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
45,1959,1959,0.0,1150.0,1150,1150,1,6,0,1959.0,1.0,300.0,141000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
46,2005,2005,412.0,1752.0,1752,1752,2,6,1,2005.0,2.0,576.0,319900.0,8.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
47,2003,2003,0.0,1434.0,1518,2149,1,6,1,2003.0,2.0,670.0,239686.0,6.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48,2006,2006,0.0,1656.0,1656,1656,2,7,0,2006.0,3.0,826.0,249700.0,7.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
49,1920,2008,0.0,736.0,736,1452,2,8,0,1979.0,0.0,0.0,113000.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50,1966,1966,0.0,955.0,955,955,1,6,0,1966.0,1.0,386.0,127000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
51,1997,1997,0.0,794.0,794,1470,2,6,0,1997.0,2.0,388.0,177000.0,5.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52,1934,1950,0.0,816.0,816,1176,1,6,1,1985.0,2.0,528.0,114500.0,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
53,1963,1963,0.0,816.0,816,816,1,5,0,1963.0,2.0,516.0,110000.0,4.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
54,1981,1987,0.0,1842.0,1842,1842,0,5,1,1981.0,3.0,894.0,385000.0,8.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
55,1955,1955,0.0,384.0,1360,1360,1,6,1,1962.0,2.0,572.0,130000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
56,1964,1964,272.0,1425.0,1425,1425,2,7,1,1964.0,2.0,576.0,180500.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
57,1999,2000,456.0,970.0,983,1739,2,7,0,1999.0,2.0,480.0,172500.0,7.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
58,2004,2004,0.0,860.0,860,1720,2,7,0,2004.0,2.0,565.0,196500.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
59,2006,2006,1031.0,1410.0,1426,2945,3,10,1,2006.0,3.0,641.0,438780.0,9.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
60,1972,1972,0.0,780.0,780,780,1,4,0,1973.0,1.0,352.0,124900.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
61,2004,2004,0.0,1158.0,1158,1158,1,5,0,2006.0,2.0,576.0,158000.0,5.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
62,1920,1996,0.0,530.0,581,1111,1,6,0,1935.0,1.0,288.0,101000.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
63,2006,2006,178.0,1370.0,1370,1370,2,6,1,2006.0,2.0,484.0,202500.0,7.0,3.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
64,1921,1950,0.0,576.0,902,1710,2,9,0,1990.0,2.0,480.0,140000.0,6.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
65,1997,1998,573.0,1057.0,1057,2034,2,8,0,1998.0,2.0,645.0,219500.0,6.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
66,2004,2005,344.0,1143.0,1143,2473,2,9,1,2004.0,3.0,852.0,317000.0,7.0,3.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
67,1970,1989,287.0,1947.0,2207,2207,2,7,1,1970.0,2.0,576.0,180000.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
68,2003,2003,167.0,1453.0,1479,1479,2,7,0,2003.0,2.0,558.0,226000.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
69,1945,1950,0.0,747.0,747,747,1,4,0,1945.0,1.0,220.0,80000.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
70,1953,1953,0.0,1304.0,1304,2287,2,7,1,1953.0,2.0,667.0,225000.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
71,1973,1973,1115.0,2223.0,2223,2223,2,8,2,1973.0,2.0,516.0,244000.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
72,1982,2006,0.0,845.0,845,845,1,4,0,1987.0,2.0,360.0,129500.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
73,1998,1998,40.0,832.0,885,1718,2,7,1,1998.0,2.0,427.0,185000.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
74,1954,2003,104.0,1086.0,1086,1086,1,6,0,1989.0,2.0,490.0,144900.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
75,1915,1950,0.0,840.0,840,1605,2,8,0,1915.0,1.0,379.0,107400.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
76,1973,1973,0.0,462.0,526,988,1,5,0,1973.0,1.0,297.0,91000.0,3.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
77,1956,1956,0.0,952.0,952,952,1,4,0,1956.0,1.0,283.0,135750.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
78,1948,2001,0.0,672.0,1072,1285,1,6,0,1948.0,1.0,240.0,127000.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
79,1968,1968,0.0,1768.0,1768,1768,2,8,0,1979.0,0.0,0.0,136500.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
80,1910,1981,0.0,440.0,682,1230,1,5,0,1966.0,2.0,440.0,110000.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
81,1968,1968,576.0,896.0,1182,2142,2,8,1,1968.0,1.0,509.0,193500.0,5.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
82,1998,1998,443.0,1237.0,1337,1337,2,5,0,1998.0,2.0,405.0,153500.0,5.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
83,2007,2007,468.0,1563.0,1563,1563,2,6,1,2007.0,3.0,758.0,245000.0,7.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
84,1960,1960,66.0,1065.0,1065,1065,1,6,0,1974.0,2.0,461.0,126500.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
85,1995,1996,22.0,384.0,804,1474,2,7,1,1995.0,2.0,400.0,168500.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
86,1991,1992,284.0,1288.0,1301,2417,2,9,1,1991.0,2.0,462.0,260000.0,7.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
87,2005,2005,0.0,684.0,684,1560,2,6,1,2005.0,2.0,400.0,174000.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
88,2009,2009,76.0,612.0,612,1224,2,4,0,2009.0,2.0,528.0,164500.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
89,1915,1982,0.0,1013.0,1013,1526,1,6,0,1979.0,0.0,0.0,85000.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
90,1994,1995,0.0,990.0,990,990,1,5,0,1979.0,0.0,0.0,123600.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
91,1950,1950,0.0,0.0,1040,1040,1,4,0,1950.0,2.0,420.0,109900.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
92,1961,1961,203.0,1235.0,1235,1235,1,6,0,1961.0,2.0,480.0,98600.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
93,1921,2006,0.0,876.0,964,964,1,5,0,1921.0,2.0,432.0,163500.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
94,1910,1998,0.0,1214.0,1260,2291,2,9,1,1900.0,2.0,506.0,133900.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
95,1997,1997,0.0,824.0,905,1786,2,7,0,1997.0,2.0,684.0,204750.0,5.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
96,1993,1993,68.0,680.0,680,1470,2,6,1,1993.0,2.0,420.0,185000.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97,1999,1999,183.0,1588.0,1588,1588,2,6,0,1999.0,2.0,472.0,214000.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
98,1965,1965,48.0,960.0,960,960,1,6,0,1965.0,1.0,432.0,94750.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
99,1920,1950,0.0,458.0,835,835,1,5,0,1920.0,1.0,366.0,83000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1959,1959,0.0,950.0,1225,1225,1,6,0,1979.0,0.0,0.0,128950.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
101,1977,2001,28.0,1610.0,1610,1610,2,6,2,1977.0,2.0,480.0,205000.0,5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
102,1985,1985,336.0,741.0,977,1732,2,7,1,1985.0,2.0,476.0,178000.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
103,1979,1979,0.0,0.0,1535,1535,2,8,0,1979.0,2.0,410.0,118964.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2009,2009,0.0,1226.0,1226,1226,2,6,0,2009.0,3.0,740.0,198900.0,6.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
105,1931,1950,600.0,1040.0,1226,1818,1,7,2,1951.0,1.0,240.0,169500.0,6.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
106,2003,2004,768.0,1053.0,1053,1992,2,9,1,2003.0,2.0,648.0,250000.0,7.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
107,1885,1995,0.0,641.0,1047,1047,1,6,0,1954.0,1.0,273.0,100000.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
108,1948,1950,0.0,789.0,789,789,1,5,0,1948.0,1.0,250.0,115000.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
109,1919,2005,0.0,793.0,997,1517,2,7,0,1979.0,0.0,0.0,115000.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
110,1977,1977,480.0,1844.0,1844,1844,2,7,1,1977.0,2.0,546.0,190000.0,5.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
111,1954,1972,0.0,994.0,1216,1855,2,7,0,1954.0,1.0,325.0,136900.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
112,2000,2000,0.0,384.0,774,1430,2,7,1,2000.0,2.0,400.0,180000.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
113,2007,2007,220.0,1264.0,1282,2696,2,10,1,2007.0,3.0,792.0,383970.0,6.0,3.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
114,1953,1953,184.0,1809.0,2259,2259,2,7,2,1953.0,2.0,450.0,217000.0,5.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
115,1945,2002,0.0,1028.0,1436,2320,2,9,1,1945.0,1.0,180.0,259500.0,5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
116,1999,1999,1129.0,729.0,729,1458,2,5,1,1999.0,2.0,440.0,176000.0,5.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
117,1962,1962,116.0,1092.0,1092,1092,1,6,1,1962.0,1.0,288.0,139000.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
118,2006,2007,0.0,1125.0,1125,1125,1,5,0,2007.0,2.0,430.0,155000.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
119,1990,1990,0.0,1673.0,1699,3222,3,11,2,1990.0,3.0,594.0,320000.0,6.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
120,2005,2006,0.0,728.0,728,1456,2,8,1,2005.0,2.0,390.0,163990.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
121,1969,1969,0.0,938.0,988,988,1,4,2,1969.0,2.0,540.0,180000.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
122,1939,1950,0.0,732.0,772,1123,1,4,0,1979.0,1.0,264.0,100000.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
